"hanzi","pinyin","bucket","hsk","freq","correct","incorrect","total","accuracy"
"游","yóu","Bidaily","2","695","1","0","1","100"
"妻","qī","Bidaily","2","1076","1","0","1","100"
"位","wèi","Bidaily","3","182","1","0","1","100"
"解","jiě","Daily","3","201","0","1","1","0"
"决","jué","Bidaily","3","273","1","0","1","100"
"据","jù","Bidaily","3","313","0","0","0",""
"极","jí","Bidaily","3","363","0","0","0",""
"越","yuè","Bidaily","3","440","1","0","1","100"
"史","shǐ","Bidaily","3","456","1","0","1","100"
"查","chá","Bidaily","3","459","0","0","0",""
"除","chú","Bidaily","3","464","2","0","2","100"
"较","jiào","Bidaily","3","491","1","0","1","100"
"选","xuǎn","Bidaily","3","499","1","0","1","100"
"料","liào","Bidaily","3","557","3","0","3","100"
"段","duàn","Bidaily","3","567","0","0","0",""
"害","hài","Bidaily","3","579","1","0","1","100"
"境","jìng","Bidaily","3","582","2","0","2","100"
"刻","kè","Bidaily","3","618","2","0","2","100"
"假","jiǎ","Bidaily","3","636","1","0","1","100"
"担","dān","Daily","3","720","2","1","3","67"
"检","jiǎn","Daily","3","731","1","1","2","50"
"差","chà","Bidaily","3","732","1","0","1","100"
"铁","tiě","Bidaily","3","779","0","0","0",""
"顾","gù","Bidaily","3","815","0","0","0",""
"短","duǎn","Bidaily","3","889","1","0","1","100"
"遇","yù","Bidaily","3","899","0","0","0",""
"康","kāng","Bidaily","3","900","0","0","0",""
"春","chūn","Bidaily","3","921","1","0","1","100"
"附","fù","Bidaily","3","923","0","0","0",""
"择","zé","Bidaily","3","961","0","0","0",""
"健","jiàn","Bidaily","3","979","1","0","1","100"
"借","jiè","Bidaily","3","984","1","0","1","100"
"束","shù","Bidaily","3","998","0","0","0",""
"练","liàn","Bidaily","3","1005","1","0","1","100"
"嘴","zuǐ","Bidaily","3","1010","0","0","0",""
"戏","xì","Bidaily","3","1033","0","0","0",""
"盘","pán","Bidaily","3","1049","0","0","0",""
"忘","wàng","Bidaily","3","1056","0","0","0",""
"赛","sài","Bidaily","3","1064","0","0","0",""
